customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
DVFU-0CCCA,Male,0,Yes,No,65,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.34,4083.7,No
MSHU-87890,Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),59.75,3237.43,No
DGCL-AA7D9,Male,0,No,Yes,57,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,45.64,2554.24,Yes
CTOQ-9818C,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,45.62,496.89,Yes
HPAJ-6F346,Male,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.8,260.52,No
ZWAG-D0D4E,Female,0,Yes,Yes,10,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),49.71,453.03,No
HLRD-88CFA,Female,0,No,Yes,37,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.7,1951.15,No
KKKV-52501,Female,1,Yes,No,41,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,37.84,1604.41,No
CUSS-7B2E8,Male,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.27,1397.07,No
YDMS-77263,Female,1,Yes,No,71,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),67.39,4818.11,Yes
HRQP-5F151,Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,58.29,3324.2,No
IZJX-7B74C,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.38,276.39,No
ZGUG-BC7B4,Female,1,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.99,357.35,Yes
CCLX-27B3B,Female,0,No,No,60,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),55.6,3292.57,No
HVPO-27D0C,Female,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,80.31,4707.71,No
MSRL-4A291,Female,0,No,No,59,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,62.09,3607.01,No
QQCT-6C027,Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),58.92,2077.91,No
EIRD-A129C,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,46.32,2248.08,No
EHYZ-97599,Female,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.98,1290.55,No
HADY-677C1,Male,0,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.13,850.24,No
CHMR-77F29,Male,0,Yes,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),57.3,3102.85,No
OMUG-F588D,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,57.0,233.62,No
LHAJ-D0E82,Female,0,No,No,21,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,52.59,1085.02,No
HOIC-AA143,Female,0,Yes,Yes,7,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,30.35,151.71,Yes
RSSY-C519E,Male,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.97,93.66,No
ZFGA-28854,Female,1,Yes,No,47,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,41.47,1914.05,Yes
VLVZ-53FA4,Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.57,144.87,No
QNXG-FE228,Male,1,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.4,927.59,No
BHLZ-F2E1B,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,59.08,57.02,Yes
VXFX-18750,Male,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.8,1273.07,Yes
UIRK-5E1BB,Male,0,Yes,Yes,58,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,39.32,2252.31,Yes
JGAY-F3011,Female,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.74,635.85,No
VXDT-259BD,Female,0,Yes,Yes,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),67.64,1488.68,Yes
BFHI-FC5F7,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),55.43,1222.03,No
NLDY-02342,Female,0,No,Yes,60,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,58.65,3504.51,No
ARZD-48EBC,Female,1,No,Yes,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),74.34,3254.9,No
PKFW-C0B1B,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.56,248.76,Yes
VDLD-9E16F,Female,0,No,No,35,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.76,2355.9,Yes
HDMN-A5F84,Female,0,No,Yes,54,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),72.18,3830.36,No
YYMA-982AD,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,45.76,315.87,No
CSDT-60F29,Female,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),79.01,3976.69,No
EYTU-67ACD,Male,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.06,2636.4,No
ARCH-D4C73,Female,1,No,No,56,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),49.16,2747.74,No
INTP-EDC94,Male,0,No,Yes,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,52.35,274.11,Yes
KDJY-61AFD,Female,0,No,No,66,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),38.75,2567.9,No
HLNG-43FBD,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.74,515.69,No
VYCW-17952,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),62.55,1022.12,No
EVII-E2EE9,Male,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.51,193.09,No
EEHP-27180,Male,0,Yes,No,61,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),71.14,4391.52,No
SBFE-D0698,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),53.94,2697.34,No
RUKV-5F8BE,Male,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.14,1875.55,No
UWNB-72E33,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.92,1289.35,No
GQOY-64005,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,51.41,1484.92,Yes
YNXC-1D106,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.15,293.29,No
YRCV-DCE3F,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,54.74,291.06,No
IUPU-AA9CB,Female,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,58.57,3040.51,No
DVNI-8FDD7,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.48,3546.67,No
UKRQ-34026,Female,1,Yes,No,55,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,50.43,2710.31,No
MEKP-35585,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.55,0.0,Yes
TILJ-2A34C,Female,0,No,Yes,10,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,53.82,533.09,No
YRXW-7C578,Female,0,No,No,7,No,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Electronic check,31.97,135.37,No
YWMQ-3C88C,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,54.57,591.32,Yes
QBHE-B039B,Female,1,No,No,8,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),55.92,501.26,No
NWXD-F9A19,Male,0,No,Yes,17,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),54.02,894.01,No
SPCN-EB2FF,Female,1,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.8,1069.45,Yes
EUKP-7CFCE,Female,1,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,55.64,905.99,No
YCGS-90189,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.29,759.99,Yes
EEDO-0977A,Male,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),75.0,2734.0,Yes
NSTX-C8739,Female,0,No,No,7,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,41.63,268.61,Yes
DYVD-C1B17,Male,1,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,34.58,34.58,No
RSKX-C3AB5,Female,0,No,Yes,4,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),30.3,117.7,Yes
TXVT-A4C58,Male,1,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.27,395.68,Yes
IIEY-21E87,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,72.61,682.03,No
TJDS-28FE5,Male,0,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.8,399.17,Yes
UPMD-6AF0B,Male,1,Yes,No,2,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,43.53,42.15,No
WYLD-4DEA1,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.79,825.51,No
DMPA-A8017,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,70.91,4277.76,Yes
SVLH-F7570,Female,0,No,No,14,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.77,869.42,No
HNXT-C816F,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.95,1247.22,No
BWRH-CD01A,Female,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.45,1455.92,Yes
ZARD-A91AE,Female,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,77.67,5428.02,Yes
WAGG-72DCC,Female,1,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.02,979.77,No
FAXH-AE000,Female,1,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),67.47,3753.54,No
EBVP-FCF34,Female,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,73.23,2228.93,No
WGBR-CFE1C,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.17,268.09,Yes
VSVV-70731,Female,0,No,No,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,63.29,3550.52,No
DSNO-B8A1D,Female,0,No,No,48,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,35.2,1651.26,No
LEVT-03041,Female,1,No,Yes,70,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),52.06,3613.42,No
SNZT-98019,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),51.42,1196.88,No
ABFW-7B625,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,70.75,72.95,No
CUEJ-F978C,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,78.26,3083.91,No
GQWO-723F8,Female,0,Yes,Yes,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.48,746.72,No
HKPN-B4A7F,Female,0,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,39.6,395.98,Yes
EDMN-B6E72,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,66.9,1742.5,No
DZDY-41496,Female,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),61.45,2034.44,No
UPKQ-F626D,Female,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),42.49,433.13,No
FYPP-5E046,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.75,1825.8,No
MMDF-19599,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),53.7,446.45,No
SOQP-A953C,Male,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,48.78,2914.85,No
IOFL-8A85F,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),70.86,390.57,Yes
NVTO-E2ED8,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,64.89,3232.49,No
TNGU-358D6,Female,0,No,Yes,40,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),53.91,2130.77,No
MBDB-1DDD0,Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.89,18.89,Yes
CHOI-72B51,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,44.19,97.21,No
TXAL-DBD65,Female,1,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,47.54,448.01,Yes
SDGP-A1858,Male,1,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),65.26,2848.91,No
YBZL-C64CB,Female,0,Yes,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,57.3,3025.94,No
DSTK-EA50A,Female,1,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.8,1255.64,No
FTNM-2B26D,Male,0,No,No,2,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,54.28,141.5,Yes
XZYO-3DCFA,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),58.56,3594.14,No
DNLV-651DC,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),72.41,610.42,No
BLMM-E2423,Female,0,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.68,216.2,No
XYBQ-33437,Male,0,No,No,72,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),30.22,2114.14,No
ZPSM-0143D,Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),69.7,2883.98,No
VWQO-A6ACC,Female,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,59.61,509.93,No
PBSJ-B8E5E,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,61.54,1436.97,Yes
VIMN-CBD58,Male,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),45.2,3279.34,No
LXHP-1D659,Female,1,Yes,No,31,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,61.86,1897.22,Yes
MWNN-106FE,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,46.01,1162.14,No
QQKE-05534,Female,0,No,No,56,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),50.47,2824.58,No
APYR-76429,Male,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.24,199.57,No
OAKH-2B8AB,Male,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.8,925.78,No
ZUQW-7FCAE,Male,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),64.44,4598.76,No
NSHZ-9C7D1,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.46,1480.94,No
CNTV-7A8FA,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.24,3508.83,No
KZCZ-24DBF,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.33,3228.42,Yes
TQJA-1408C,Male,0,Yes,No,70,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,70.21,4969.39,No
ZMWZ-D75F3,Male,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.68,1409.91,No
KBUQ-1388C,Male,0,Yes,No,1,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,46.87,61.22,No
GYLV-3005F,Female,0,Yes,No,63,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),32.16,2038.76,No
BJCY-ACBAC,Male,0,No,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.97,2448.46,No
AWTT-6C60E,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.87,557.08,Yes
GCQG-D70F8,Female,1,No,No,8,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,49.25,445.76,Yes
GRNA-C6BE9,Female,1,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),63.33,4385.44,No
RGGK-D85CD,Male,1,No,No,42,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,27.99,1127.06,No
XHSP-76148,Male,0,Yes,No,41,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,43.71,1776.36,No
XWER-1A57B,Male,0,No,No,56,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),29.09,1737.04,No
LUNZ-A4C68,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,61.49,494.97,No
DDOE-FDBB9,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),64.34,231.21,No
BKMX-37521,Male,0,Yes,No,32,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),38.9,1251.77,No
JCBJ-38047,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),45.97,105.61,Yes
ZQWI-76EFF,Male,1,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.22,673.58,Yes
TNOZ-45E63,Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),46.55,408.47,No
OIXX-48FB3,Male,1,Yes,No,66,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,44.67,2925.7,No
PQQA-4D345,Female,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.8,328.19,No
EEJW-04084,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),71.06,440.45,Yes
UPUQ-7D7FF,Female,0,Yes,No,4,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,48.77,131.76,Yes
PRGV-AE4C7,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,55.71,395.03,Yes
EEOI-16A5F,Female,0,Yes,No,62,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,31.51,1904.95,No
UNYL-20FFB,Male,0,No,Yes,30,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,63.01,1978.2,No
CHBB-391F7,Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.27,2216.05,No
GNUI-00D1A,Female,0,No,Yes,60,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,49.06,2949.42,Yes
JUBX-B73F4,Female,1,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.05,1199.31,No
MKFK-20416,Female,0,No,No,54,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,55.49,2996.7,No
WEAC-84705,Male,1,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.65,1578.64,No
KLOU-7D843,Female,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.18,838.7,No
IPGX-7DA53,Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.86,721.91,No
TIGY-7077D,Male,0,Yes,No,39,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),52.27,1964.78,No
SEDP-0520E,Female,0,No,Yes,9,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),54.36,483.35,No
